example_id,domain,dialogue_id,turn_id,speaker,politeness_label,split,paper_subset
dstc1:train3/dt-201007221854-4808D:0,dstc1,train3/dt-201007221854-4808D,0,agent,2,train,1
dstc1:train3/dt-201007221854-4808D:1,dstc1,train3/dt-201007221854-4808D,1,user,0,train,0
dstc1:train3/dt-201007221854-4808D:2,dstc1,train3/dt-201007221854-4808D,2,agent,2,train,0
dstc1:train3/dt-201007221854-4808D:3,dstc1,train3/dt-201007221854-4808D,3,user,0,train,1
dstc1:train3/dt-201007221854-4808D:4,dstc1,train3/dt-201007221854-4808D,4,agent,2,train,0
dstc1:train3/dt-201007221854-4808D:5,dstc1,train3/dt-201007221854-4808D,5,user,0,train,0
dstc1:train3/dt-201007221854-4808D:6,dstc1,train3/dt-201007221854-4808D,6,agent,2,train,0
dstc1:train3/dt-201007221854-4808D:7,dstc1,train3/dt-201007221854-4808D,7,user,2,train,0
dstc1:train3/dt-201007221854-4808D:8,dstc1,train3/dt-201007221854-4808D,8,agent,2,train,1
dstc1:train3/dt-201007221854-4808D:9,dstc1,train3/dt-201007221854-4808D,9,user,0,train,0
dstc1:train3/dt-201007221854-4808D:10,dstc1,train3/dt-201007221854-4808D,10,agent,1,train,1
dstc1:train3/dt-201007221854-4808D:11,dstc1,train3/dt-201007221854-4808D,11,user,0,train,0
dstc1:train3/dt-201007221854-4808D:12,dstc1,train3/dt-201007221854-4808D,12,agent,3,train,1
dstc1:train3/dt-201007221854-4808D:13,dstc1,train3/dt-201007221854-4808D,13,user,0,train,0
dstc1:train3/dt-201007221854-4808D:14,dstc1,train3/dt-201007221854-4808D,14,agent,1,train,0
dstc1:train3/dt-201007221856-2008E:0,dstc1,train3/dt-201007221856-2008E,0,agent,2,validation,1
dstc1:train3/dt-201007221856-2008E:1,dstc1,train3/dt-201007221856-2008E,1,user,0,validation,0
dstc1:train3/dt-201007221856-2008E:2,dstc1,train3/dt-201007221856-2008E,2,agent,2,validation,1
dstc1:train3/dt-201007221856-2008E:3,dstc1,train3/dt-201007221856-2008E,3,user,0,validation,1
dstc1:train3/dt-201007221856-2008E:4,dstc1,train3/dt-201007221856-2008E,4,agent,2,validation,0
dstc1:train3/dt-201007221856-2008E:5,dstc1,train3/dt-201007221856-2008E,5,user,0,validation,0
dstc1:train3/dt-201007221856-2008E:6,dstc1,train3/dt-201007221856-2008E,6,agent,3,validation,0
dstc1:train3/dt-201007221856-2008E:7,dstc1,train3/dt-201007221856-2008E,7,user,0,validation,0
dstc1:train3/dt-201007221856-2008E:8,dstc1,train3/dt-201007221856-2008E,8,agent,3,validation,1
dstc1:train3/dt-201007221856-2008E:9,dstc1,train3/dt-201007221856-2008E,9,user,0,validation,0
dstc1:train3/dt-201007221856-2008E:10,dstc1,train3/dt-201007221856-2008E,10,agent,2,validation,0
dstc1:train3/dt-201007221856-2008E:11,dstc1,train3/dt-201007221856-2008E,11,user,0,validation,0
dstc1:train3/dt-201007221856-2008E:12,dstc1,train3/dt-201007221856-2008E,12,agent,1,validation,1
dstc1:train3/dt-201007221856-2008E:14,dstc1,train3/dt-201007221856-2008E,14,agent,2,validation,1
dstc1:train3/dt-201007221856-2008E:15,dstc1,train3/dt-201007221856-2008E,15,user,0,validation,1
dstc1:train3/dt-201007221856-2008E:16,dstc1,train3/dt-201007221856-2008E,16,agent,1,validation,0
dstc1:train3/dt-201007221901-4108F:0,dstc1,train3/dt-201007221901-4108F,0,agent,2,validation,1
dstc1:train3/dt-201007221901-4108F:1,dstc1,train3/dt-201007221901-4108F,1,user,0,validation,0
dstc1:train3/dt-201007221901-4108F:2,dstc1,train3/dt-201007221901-4108F,2,agent,1,validation,1
dstc1:train3/dt-201007221901-4108F:3,dstc1,train3/dt-201007221901-4108F,3,user,0,validation,0
dstc1:train3/dt-201007221901-4108F:4,dstc1,train3/dt-201007221901-4108F,4,agent,3,validation,0
dstc1:train3/dt-201007221901-4108F:5,dstc1,train3/dt-201007221901-4108F,5,user,0,validation,0
dstc1:train3/dt-201007221901-4108F:6,dstc1,train3/dt-201007221901-4108F,6,agent,3,validation,1
dstc1:train3/dt-201007221901-4108F:8,dstc1,train3/dt-201007221901-4108F,8,agent,3,validation,0
dstc1:train3/dt-201007221901-4108F:9,dstc1,train3/dt-201007221901-4108F,9,user,0,validation,0
dstc1:train3/dt-201007221901-4108F:10,dstc1,train3/dt-201007221901-4108F,10,agent,2,validation,0
dstc1:train3/dt-201007221901-4108F:11,dstc1,train3/dt-201007221901-4108F,11,user,0,validation,0
dstc1:train3/dt-201007221901-4108F:12,dstc1,train3/dt-201007221901-4108F,12,agent,1,validation,0
dstc1:train3/dt-201007221901-4108F:13,dstc1,train3/dt-201007221901-4108F,13,user,0,validation,0
dstc1:train3/dt-201007221901-4108F:14,dstc1,train3/dt-201007221901-4108F,14,agent,2,validation,0
dstc1:train3/dt-201007221901-4108F:16,dstc1,train3/dt-201007221901-4108F,16,agent,3,validation,0
