example_id,domain,dialogue_id,turn_id,speaker,politeness_label,split,paper_subset
movie:1:1,movie,1,1,user,2,train,0
movie:1:2,movie,1,2,agent,2,train,1
movie:2:1,movie,2,1,user,3,test,1
movie:2:2,movie,2,2,agent,1,test,0
movie:2:3,movie,2,3,user,2,test,0
movie:2:4,movie,2,4,agent,3,test,1
movie:2:5,movie,2,5,user,3,test,1
movie:2:6,movie,2,6,agent,2,test,0
movie:2:7,movie,2,7,user,3,test,0
movie:2:8,movie,2,8,agent,2,test,0
movie:2:9,movie,2,9,user,2,test,0
movie:2:10,movie,2,10,agent,2,test,0
movie:2:11,movie,2,11,user,3,test,1
movie:2:12,movie,2,12,agent,3,test,0
movie:3:1,movie,3,1,user,1,validation,0
movie:3:2,movie,3,2,agent,3,validation,0
movie:3:3,movie,3,3,user,1,validation,0
movie:3:4,movie,3,4,agent,2,validation,1
movie:4:1,movie,4,1,user,3,train,0
movie:4:2,movie,4,2,agent,2,train,0
movie:4:3,movie,4,3,user,3,train,0
movie:4:4,movie,4,4,agent,2,train,0
movie:4:5,movie,4,5,user,2,train,0
movie:4:6,movie,4,6,agent,3,train,1
movie:4:7,movie,4,7,user,2,train,0
movie:4:8,movie,4,8,agent,3,train,1
movie:4:9,movie,4,9,user,2,train,0
movie:4:10,movie,4,10,agent,2,train,0
movie:4:11,movie,4,11,user,3,train,0
movie:4:12,movie,4,12,agent,3,train,0
movie:5:1,movie,5,1,user,3,train,1
movie:5:2,movie,5,2,agent,3,train,1
movie:5:3,movie,5,3,user,3,train,1
movie:5:4,movie,5,4,agent,2,train,0
movie:5:5,movie,5,5,user,3,train,1
movie:5:6,movie,5,6,agent,1,train,0
movie:5:7,movie,5,7,user,2,train,0
movie:5:8,movie,5,8,agent,2,train,0
movie:5:9,movie,5,9,user,3,train,0
movie:5:10,movie,5,10,agent,2,train,0
movie:5:11,movie,5,11,user,3,train,1
movie:5:12,movie,5,12,agent,3,train,0
movie:6:1,movie,6,1,user,1,train,1
movie:6:2,movie,6,2,agent,1,train,1
movie:6:3,movie,6,3,user,3,train,0
movie:6:4,movie,6,4,agent,2,train,1
movie:6:5,movie,6,5,user,0,train,0
movie:6:6,movie,6,6,agent,2,train,1
movie:6:7,movie,6,7,user,3,train,1
movie:6:8,movie,6,8,agent,2,train,1
movie:6:9,movie,6,9,user,2,train,1
movie:6:10,movie,6,10,agent,2,train,0
movie:6:11,movie,6,11,user,3,train,0
movie:6:12,movie,6,12,agent,2,train,1
movie:7:1,movie,7,1,user,2,train,0
movie:7:2,movie,7,2,agent,2,train,1
movie:7:3,movie,7,3,user,3,train,0
movie:7:4,movie,7,4,agent,3,train,1
movie:8:1,movie,8,1,user,2,train,0
movie:8:2,movie,8,2,agent,2,train,1
movie:9:1,movie,9,1,user,3,train,1
movie:9:2,movie,9,2,agent,0,train,1
movie:9:3,movie,9,3,user,0,train,1
movie:9:4,movie,9,4,agent,1,train,0
movie:9:5,movie,9,5,user,3,train,0
movie:9:6,movie,9,6,agent,1,train,0
movie:10:1,movie,10,1,user,3,train,0
movie:10:2,movie,10,2,agent,3,train,1
movie:10:3,movie,10,3,user,3,train,0
movie:10:4,movie,10,4,agent,2,train,1
movie:10:5,movie,10,5,user,3,train,0
movie:10:6,movie,10,6,agent,2,train,1
movie:11:1,movie,11,1,user,1,train,0
movie:11:2,movie,11,2,agent,2,train,0
movie:11:3,movie,11,3,user,0,train,0
movie:11:4,movie,11,4,agent,1,train,0
movie:11:5,movie,11,5,user,2,train,0
movie:11:6,movie,11,6,agent,3,train,1
movie:11:7,movie,11,7,user,3,train,0
movie:11:8,movie,11,8,agent,3,train,0
movie:11:9,movie,11,9,user,0,train,0
movie:11:10,movie,11,10,agent,1,train,1
movie:11:11,movie,11,11,user,2,train,1
movie:11:12,movie,11,12,agent,2,train,0
movie:11:13,movie,11,13,user,3,train,1
movie:11:14,movie,11,14,agent,3,train,0
movie:12:1,movie,12,1,user,3,validation,1
movie:12:2,movie,12,2,agent,3,validation,0
movie:12:3,movie,12,3,user,3,validation,1
movie:12:4,movie,12,4,agent,2,validation,0
movie:12:5,movie,12,5,user,0,validation,0
movie:12:6,movie,12,6,agent,1,validation,1
movie:12:7,movie,12,7,user,1,validation,0
movie:12:8,movie,12,8,agent,1,validation,0
movie:12:9,movie,12,9,user,0,validation,0
movie:12:10,movie,12,10,agent,1,validation,1
movie:13:1,movie,13,1,user,2,test,1
movie:13:2,movie,13,2,agent,2,test,0
movie:13:3,movie,13,3,user,3,test,1
movie:13:4,movie,13,4,agent,2,test,0
movie:14:1,movie,14,1,user,0,train,0
movie:14:2,movie,14,2,agent,1,train,0
movie:14:3,movie,14,3,user,2,train,0
movie:14:4,movie,14,4,agent,2,train,0
movie:14:5,movie,14,5,user,3,train,1
movie:14:6,movie,14,6,agent,3,train,1
movie:15:1,movie,15,1,user,3,test,0
movie:15:2,movie,15,2,agent,3,test,0
movie:15:3,movie,15,3,user,3,test,0
movie:15:4,movie,15,4,agent,2,test,0
movie:15:5,movie,15,5,user,3,test,0
movie:15:6,movie,15,6,agent,1,test,0
movie:15:7,movie,15,7,user,2,test,0
movie:15:8,movie,15,8,agent,2,test,0
movie:15:9,movie,15,9,user,3,test,0
movie:15:10,movie,15,10,agent,3,test,0
movie:16:1,movie,16,1,user,2,train,0
movie:16:2,movie,16,2,agent,2,train,0
movie:17:1,movie,17,1,user,3,train,1
movie:17:2,movie,17,2,agent,3,train,1
movie:17:3,movie,17,3,user,0,train,1
movie:17:4,movie,17,4,agent,2,train,0
movie:17:5,movie,17,5,user,0,train,1
movie:17:6,movie,17,6,agent,1,train,1
movie:18:1,movie,18,1,user,2,test,0
movie:18:2,movie,18,2,agent,3,test,0
movie:18:3,movie,18,3,user,1,test,0
movie:18:4,movie,18,4,agent,2,test,0
movie:18:5,movie,18,5,user,3,test,0
movie:18:6,movie,18,6,agent,1,test,0
movie:18:7,movie,18,7,user,3,test,0
movie:18:8,movie,18,8,agent,2,test,0
movie:18:9,movie,18,9,user,3,test,0
movie:18:10,movie,18,10,agent,3,test,1
movie:19:1,movie,19,1,user,1,train,0
movie:19:2,movie,19,2,agent,2,train,0
movie:19:3,movie,19,3,user,2,train,0
movie:19:4,movie,19,4,agent,2,train,0
movie:20:1,movie,20,1,user,1,train,0
movie:20:2,movie,20,2,agent,3,train,0
movie:20:3,movie,20,3,user,3,train,1
movie:20:4,movie,20,4,agent,1,train,0
movie:20:5,movie,20,5,user,2,train,1
movie:20:6,movie,20,6,agent,1,train,1
movie:20:7,movie,20,7,user,3,train,0
movie:20:8,movie,20,8,agent,2,train,1
movie:20:9,movie,20,9,user,3,train,0
movie:20:10,movie,20,10,agent,3,train,0
movie:21:1,movie,21,1,user,1,train,0
movie:21:2,movie,21,2,agent,2,train,0
movie:21:3,movie,21,3,user,1,train,0
movie:21:4,movie,21,4,agent,1,train,0
movie:21:5,movie,21,5,user,2,train,0
movie:21:6,movie,21,6,agent,1,train,0
movie:21:7,movie,21,7,user,2,train,0
movie:21:8,movie,21,8,agent,2,train,0
movie:21:9,movie,21,9,user,2,train,0
movie:21:10,movie,21,10,agent,2,train,1
movie:21:11,movie,21,11,user,3,train,0
movie:21:12,movie,21,12,agent,3,train,0
movie:22:1,movie,22,1,user,1,train,0
movie:22:2,movie,22,2,agent,3,train,0
movie:22:3,movie,22,3,user,3,train,1
movie:22:4,movie,22,4,agent,1,train,0
movie:22:5,movie,22,5,user,2,train,1
movie:22:6,movie,22,6,agent,1,train,0
movie:23:1,movie,23,1,user,2,train,0
movie:23:2,movie,23,2,agent,2,train,0
movie:23:3,movie,23,3,user,3,train,1
movie:23:4,movie,23,4,agent,3,train,1
movie:24:1,movie,24,1,user,1,train,0
movie:24:2,movie,24,2,agent,0,train,1
movie:24:3,movie,24,3,user,2,train,0
movie:24:4,movie,24,4,agent,2,train,1
movie:24:5,movie,24,5,user,2,train,0
movie:24:6,movie,24,6,agent,2,train,0
movie:25:1,movie,25,1,user,0,train,0
movie:25:2,movie,25,2,agent,0,train,1
movie:25:3,movie,25,3,user,0,train,0
movie:25:4,movie,25,4,agent,2,train,0
movie:25:5,movie,25,5,user,0,train,1
movie:25:6,movie,25,6,agent,1,train,0
movie:25:7,movie,25,7,user,2,train,0
movie:25:8,movie,25,8,agent,2,train,0
movie:25:9,movie,25,9,user,0,train,0
movie:25:10,movie,25,10,agent,2,train,1
movie:25:11,movie,25,11,user,2,train,0
movie:25:12,movie,25,12,agent,2,train,1
movie:25:13,movie,25,13,user,3,train,1
movie:25:14,movie,25,14,agent,2,train,0
movie:25:15,movie,25,15,user,3,train,1
movie:25:16,movie,25,16,agent,3,train,1
movie:26:1,movie,26,1,user,3,test,0
movie:26:2,movie,26,2,agent,2,test,1
movie:26:3,movie,26,3,user,3,test,1
movie:26:4,movie,26,4,agent,1,test,1
movie:26:5,movie,26,5,user,2,test,1
movie:26:6,movie,26,6,agent,2,test,0
movie:26:7,movie,26,7,user,3,test,0
movie:26:8,movie,26,8,agent,3,test,1
movie:27:1,movie,27,1,user,1,train,0
movie:27:2,movie,27,2,agent,2,train,0
movie:27:3,movie,27,3,user,3,train,1
movie:27:4,movie,27,4,agent,2,train,1
movie:27:5,movie,27,5,user,3,train,1
movie:27:6,movie,27,6,agent,2,train,1
movie:27:7,movie,27,7,user,0,train,0
movie:27:8,movie,27,8,agent,1,train,0
movie:27:9,movie,27,9,user,0,train,0
movie:27:10,movie,27,10,agent,2,train,0
movie:28:1,movie,28,1,user,2,test,0
movie:28:2,movie,28,2,agent,2,test,1
movie:29:1,movie,29,1,user,3,train,0
movie:29:2,movie,29,2,agent,3,train,0
movie:29:3,movie,29,3,user,3,train,1
movie:29:4,movie,29,4,agent,2,train,0
movie:29:5,movie,29,5,user,0,train,0
movie:29:6,movie,29,6,agent,2,train,1
movie:29:7,movie,29,7,user,3,train,1
movie:29:8,movie,29,8,agent,2,train,0
movie:29:9,movie,29,9,user,3,train,1
movie:29:10,movie,29,10,agent,3,train,0
movie:30:1,movie,30,1,user,2,train,1
movie:30:2,movie,30,2,agent,1,train,0
movie:30:3,movie,30,3,user,1,train,0
movie:30:4,movie,30,4,agent,1,train,1
movie:30:5,movie,30,5,user,1,train,0
movie:30:6,movie,30,6,agent,1,train,0
movie:30:7,movie,30,7,user,3,train,1
movie:30:8,movie,30,8,agent,2,train,0
movie:31:1,movie,31,1,user,1,test,0
movie:31:2,movie,31,2,agent,0,test,0
movie:31:3,movie,31,3,user,2,test,1
movie:31:4,movie,31,4,agent,2,test,0
movie:32:1,movie,32,1,user,2,test,1
movie:32:2,movie,32,2,agent,1,test,0
movie:32:3,movie,32,3,user,1,test,0
movie:32:4,movie,32,4,agent,1,test,0
movie:32:5,movie,32,5,user,0,test,0
movie:32:6,movie,32,6,agent,3,test,0
movie:33:1,movie,33,1,user,3,train,0
movie:33:2,movie,33,2,agent,3,train,0
movie:33:3,movie,33,3,user,3,train,1
movie:33:4,movie,33,4,agent,1,train,1
movie:33:5,movie,33,5,user,3,train,0
movie:33:6,movie,33,6,agent,2,train,0
movie:33:7,movie,33,7,user,2,train,0
movie:33:8,movie,33,8,agent,2,train,1
movie:33:9,movie,33,9,user,3,train,0
movie:33:10,movie,33,10,agent,2,train,0
movie:34:1,movie,34,1,user,3,train,0
movie:34:2,movie,34,2,agent,3,train,1
