example_id,domain,dialogue_id,turn_id,speaker,politeness_label,split,paper_subset
restaurant:1:1,restaurant,1,1,user,3,train,1
restaurant:1:2,restaurant,1,2,agent,2,train,0
restaurant:2:1,restaurant,2,1,user,2,test,0
restaurant:2:2,restaurant,2,2,agent,2,test,0
restaurant:3:1,restaurant,3,1,user,1,test,0
restaurant:3:2,restaurant,3,2,agent,2,test,0
restaurant:3:3,restaurant,3,3,user,0,test,1
restaurant:3:4,restaurant,3,4,agent,2,test,1
restaurant:3:5,restaurant,3,5,user,1,test,1
restaurant:3:6,restaurant,3,6,agent,1,test,0
restaurant:3:7,restaurant,3,7,user,3,test,0
restaurant:3:8,restaurant,3,8,agent,2,test,0
restaurant:3:9,restaurant,3,9,user,2,test,0
restaurant:3:10,restaurant,3,10,agent,2,test,0
restaurant:4:1,restaurant,4,1,user,0,train,0
restaurant:4:2,restaurant,4,2,agent,0,train,0
restaurant:4:3,restaurant,4,3,user,0,train,0
restaurant:4:4,restaurant,4,4,agent,3,train,0
restaurant:4:5,restaurant,4,5,user,0,train,0
restaurant:4:6,restaurant,4,6,agent,3,train,0
restaurant:4:7,restaurant,4,7,user,2,train,0
restaurant:4:8,restaurant,4,8,agent,1,train,1
restaurant:4:9,restaurant,4,9,user,2,train,0
restaurant:4:10,restaurant,4,10,agent,1,train,0
restaurant:4:11,restaurant,4,11,user,0,train,0
restaurant:4:12,restaurant,4,12,agent,3,train,0
restaurant:4:13,restaurant,4,13,user,0,train,0
restaurant:4:14,restaurant,4,14,agent,1,train,0
restaurant:4:15,restaurant,4,15,user,0,train,0
restaurant:4:16,restaurant,4,16,agent,2,train,0
restaurant:4:17,restaurant,4,17,user,0,train,0
restaurant:4:18,restaurant,4,18,agent,3,train,0
restaurant:5:1,restaurant,5,1,user,1,train,0
restaurant:5:2,restaurant,5,2,agent,1,train,0
restaurant:5:3,restaurant,5,3,user,0,train,0
restaurant:5:4,restaurant,5,4,agent,1,train,0
restaurant:5:5,restaurant,5,5,user,0,train,0
restaurant:5:6,restaurant,5,6,agent,3,train,0
restaurant:5:7,restaurant,5,7,user,0,train,0
restaurant:5:8,restaurant,5,8,agent,2,train,0
restaurant:5:9,restaurant,5,9,user,2,train,0
restaurant:5:10,restaurant,5,10,agent,1,train,0
restaurant:5:11,restaurant,5,11,user,0,train,0
restaurant:5:12,restaurant,5,12,agent,2,train,0
restaurant:6:1,restaurant,6,1,user,1,test,0
restaurant:6:2,restaurant,6,2,agent,1,test,0
restaurant:6:3,restaurant,6,3,user,0,test,1
restaurant:6:4,restaurant,6,4,agent,2,test,1
restaurant:6:5,restaurant,6,5,user,0,test,0
restaurant:6:6,restaurant,6,6,agent,3,test,1
restaurant:6:7,restaurant,6,7,user,0,test,0
restaurant:6:8,restaurant,6,8,agent,2,test,0
restaurant:6:9,restaurant,6,9,user,3,test,1
