example_id,domain,dialogue_id,turn_id,speaker,politeness_label,split,paper_subset
taxi:1:1,taxi,1,1,user,2,train,0
taxi:1:2,taxi,1,2,agent,1,train,1
taxi:1:3,taxi,1,3,user,0,train,0
taxi:1:4,taxi,1,4,agent,1,train,0
taxi:1:5,taxi,1,5,user,0,train,0
taxi:1:6,taxi,1,6,agent,0,train,1
taxi:1:7,taxi,1,7,user,0,train,1
taxi:1:8,taxi,1,8,agent,0,train,0
taxi:1:9,taxi,1,9,user,0,train,0
taxi:1:10,taxi,1,10,agent,1,train,0
taxi:1:11,taxi,1,11,user,0,train,1
taxi:1:12,taxi,1,12,agent,2,train,0
taxi:1:13,taxi,1,13,user,3,train,0
taxi:1:14,taxi,1,14,agent,2,train,1
taxi:2:1,taxi,2,1,user,1,train,1
taxi:2:2,taxi,2,2,agent,1,train,0
taxi:2:3,taxi,2,3,user,0,train,0
taxi:2:4,taxi,2,4,agent,2,train,0
taxi:2:5,taxi,2,5,user,0,train,1
taxi:2:6,taxi,2,6,agent,2,train,1
taxi:2:7,taxi,2,7,user,1,train,0
taxi:2:8,taxi,2,8,agent,3,train,1
taxi:3:1,taxi,3,1,user,0,train,0
taxi:3:2,taxi,3,2,agent,1,train,0
taxi:3:3,taxi,3,3,user,0,train,0
taxi:3:4,taxi,3,4,agent,1,train,0
taxi:3:5,taxi,3,5,user,0,train,0
taxi:3:6,taxi,3,6,agent,2,train,0
taxi:3:7,taxi,3,7,user,2,train,1
taxi:3:8,taxi,3,8,agent,2,train,0
taxi:4:1,taxi,4,1,user,3,test,0
taxi:4:2,taxi,4,2,agent,1,test,0
taxi:4:3,taxi,4,3,user,0,test,0
taxi:4:4,taxi,4,4,agent,1,test,0
taxi:4:5,taxi,4,5,user,2,test,0
taxi:4:6,taxi,4,6,agent,1,test,0
taxi:4:7,taxi,4,7,user,2,test,0
taxi:4:8,taxi,4,8,agent,1,test,0
taxi:4:9,taxi,4,9,user,0,test,0
taxi:4:10,taxi,4,10,agent,1,test,0
taxi:4:11,taxi,4,11,user,0,test,0
taxi:4:12,taxi,4,12,agent,2,test,0
taxi:4:13,taxi,4,13,user,3,test,1
taxi:4:14,taxi,4,14,agent,2,test,0
taxi:4:15,taxi,4,15,user,3,test,1
taxi:4:16,taxi,4,16,agent,3,test,1
taxi:5:1,taxi,5,1,user,1,train,0
taxi:5:2,taxi,5,2,agent,1,train,0
taxi:5:3,taxi,5,3,user,0,train,0
taxi:5:4,taxi,5,4,agent,1,train,0
taxi:5:5,taxi,5,5,user,0,train,0
taxi:5:6,taxi,5,6,agent,2,train,0
taxi:5:7,taxi,5,7,user,3,train,1
taxi:5:8,taxi,5,8,agent,2,train,1
taxi:5:9,taxi,5,9,user,3,train,0
taxi:5:10,taxi,5,10,agent,3,train,1
taxi:6:1,taxi,6,1,user,0,train,0
taxi:6:2,taxi,6,2,agent,2,train,0
taxi:6:3,taxi,6,3,user,3,train,1
taxi:6:4,taxi,6,4,agent,1,train,0
taxi:6:5,taxi,6,5,user,0,train,0
