domain,label,label_name,count,source,source_table
movie,0,impolite,1136,manuscript,Table:2
movie,1,somewhat_impolite,533,manuscript,Table:2
movie,2,somewhat_polite,2367,manuscript,Table:2
movie,3,polite,3110,manuscript,Table:2
restaurant,0,impolite,1301,manuscript,Table:2
restaurant,1,somewhat_impolite,866,manuscript,Table:2
restaurant,2,somewhat_polite,1824,manuscript,Table:2
restaurant,3,polite,3141,manuscript,Table:2
taxi,0,impolite,1285,manuscript,Table:2
taxi,1,somewhat_impolite,674,manuscript,Table:2
taxi,2,somewhat_polite,1787,manuscript,Table:2
taxi,3,polite,3480,manuscript,Table:2
dstc1,0,impolite,2570,manuscript,Table:2
dstc1,1,somewhat_impolite,708,manuscript,Table:2
dstc1,2,somewhat_polite,4374,manuscript,Table:2
dstc1,3,polite,2491,manuscript,Table:2
mdc,0,impolite,3722,manuscript,Table:2
mdc,1,somewhat_impolite,2073,manuscript,Table:2
mdc,2,somewhat_polite,5978,manuscript,Table:2
mdc,3,polite,9731,manuscript,Table:2
