model,epochs,learning_rate,batch_size,train_loss,validation_loss,f1,source,source_table
Proposed Model,2,1e-5,8,0.0799,0.44889,0.911,manuscript,abla_study_pro
Proposed Model,2,1e-5,16,0.376,0.4756,0.892,manuscript,abla_study_pro
Proposed Model,2,1e-5,32,0.4143,0.5136,0.833,manuscript,abla_study_pro
Proposed Model,2,2e-5,8,0.0937,0.42237,0.953,manuscript,abla_study_pro
Proposed Model,2,2e-5,16,0.21,0.4098,0.927,manuscript,abla_study_pro
Proposed Model,2,2e-5,32,0.3314,0.45085,0.904,manuscript,abla_study_pro
Proposed Model,2,3e-5,8,0.0606,0.432,0.955,manuscript,abla_study_pro
Proposed Model,2,3e-5,16,0.1253,0.39881,0.943,manuscript,abla_study_pro
Proposed Model,2,3e-5,32,0.8487,0.4082,0.929,manuscript,abla_study_pro
Proposed Model,2,4e-5,8,2.2619,0.4308,0.970,manuscript,abla_study_pro
Proposed Model,2,4e-5,16,0.1801,0.3913,0.944,manuscript,abla_study_pro
Proposed Model,2,4e-5,32,0.4385,0.3809,0.939,manuscript,abla_study_pro
Proposed Model,4,1e-5,8,0.7722,0.443,0.961,manuscript,abla_study_pro
Proposed Model,4,1e-5,16,0.5304,0.4013,0.943,manuscript,abla_study_pro
Proposed Model,4,1e-5,32,0.387,0.4374,0.911,manuscript,abla_study_pro
Proposed Model,4,2e-5,8,0.0033,0.484,0.962,manuscript,abla_study_pro
Proposed Model,4,2e-5,16,0.0146,0.403,0.945,manuscript,abla_study_pro
Proposed Model,4,2e-5,32,0.2159,0.3956,0.944,manuscript,abla_study_pro
Proposed Model,4,3e-5,8,0.0012,0.5133,0.957,manuscript,abla_study_pro
Proposed Model,4,3e-5,16,0.2812,0.4089,0.963,manuscript,abla_study_pro
Proposed Model,4,3e-5,32,0.0978,0.3814,0.964,manuscript,abla_study_pro
Proposed Model,4,4e-5,8,0.0009,0.5039,0.967,manuscript,abla_study_pro
Proposed Model,4,4e-5,16,0.4161,0.4353,0.969,manuscript,abla_study_pro
Proposed Model,4,4e-5,32,0.2902,0.4082,0.956,manuscript,abla_study_pro
ALBERT,2,1e-5,8,0.1782,0.5216,0.882,manuscript,abla_study
ALBERT,2,1e-5,16,0.4324,0.5869,0.861,manuscript,abla_study
ALBERT,2,1e-5,32,0.5627,0.8912,0.801,manuscript,abla_study
ALBERT,2,2e-5,8,0.3952,0.6354,0.903,manuscript,abla_study
ALBERT,2,2e-5,16,0.6542,0.9657,0.924,manuscript,abla_study
ALBERT,2,2e-5,32,1.279,0.8612,0.904,manuscript,abla_study
ALBERT,2,3e-5,8,0.2735,0.7162,0.887,manuscript,abla_study
ALBERT,2,3e-5,16,0.4613,0.9712,0.907,manuscript,abla_study
ALBERT,2,3e-5,32,0.4345,0.9265,0.893,manuscript,abla_study
ALBERT,2,4e-5,8,0.9813,0.9012,0.927,manuscript,abla_study
ALBERT,2,4e-5,16,0.4965,0.6148,0.897,manuscript,abla_study
ALBERT,2,4e-5,32,0.6472,0.6581,0.918,manuscript,abla_study
DistilBERT,2,1e-5,8,0.8736,0.8931,0.929,manuscript,abla_study
DistilBERT,2,1e-5,16,0.8512,0.8265,0.918,manuscript,abla_study
DistilBERT,2,1e-5,32,0.9365,0.9642,0.891,manuscript,abla_study
DistilBERT,2,2e-5,8,0.4153,0.695,0.931,manuscript,abla_study
DistilBERT,2,2e-5,16,0.4169,0.6420,0.923,manuscript,abla_study
DistilBERT,2,2e-5,32,0.4621,0.5421,0.928,manuscript,abla_study
DistilBERT,2,3e-5,8,0.2637,0.4421,0.931,manuscript,abla_study
DistilBERT,2,3e-5,16,0.3627,0.4265,0.933,manuscript,abla_study
DistilBERT,2,3e-5,32,0.3643,0.4374,0.929,manuscript,abla_study
DistilBERT,2,4e-5,8,0.2398,0.3125,0.941,manuscript,abla_study
DistilBERT,2,4e-5,16,0.4331,0.5162,0.937,manuscript,abla_study
DistilBERT,2,4e-5,32,0.4919,0.5638,0.932,manuscript,abla_study
DistilRoBERTa,2,1e-5,8,0.7721,0.8231,0.919,manuscript,abla_study
DistilRoBERTa,2,1e-5,16,0.9367,0.9832,0.903,manuscript,abla_study
DistilRoBERTa,2,1e-5,32,1.0334,1.2691,0.901,manuscript,abla_study
DistilRoBERTa,2,2e-5,8,0.6393,0.7369,0.924,manuscript,abla_study
DistilRoBERTa,2,2e-5,16,0.4438,0.5169,0.913,manuscript,abla_study
DistilRoBERTa,2,2e-5,32,0.3947,0.6268,0.907,manuscript,abla_study
DistilRoBERTa,2,3e-5,8,0.3785,0.4217,0.926,manuscript,abla_study
DistilRoBERTa,2,3e-5,16,0.4161,0.6717,0.920,manuscript,abla_study
DistilRoBERTa,2,3e-5,32,0.5728,0.7414,0.911,manuscript,abla_study
DistilRoBERTa,2,4e-5,8,0.3782,0.4003,0.936,manuscript,abla_study
DistilRoBERTa,2,4e-5,16,0.4725,0.4924,0.932,manuscript,abla_study
DistilRoBERTa,2,4e-5,32,0.5726,0.6647,0.921,manuscript,abla_study
